Name,Description,My Thoughts,Tag 1,Tag 2,Tag 3
1st Amendment of the US Constitution,"Freedom of speech, press, assembly, religion, petition",,US Constitution,,
freedom of speech,Say what you want,,,,
freedom of press,Print what you want,,,,
freedom of assembly,Gather when you want,,,,
freedom of religion,Worship what you want,,,,
freedom of petition,Write petitions about whatever you want,,,,
2nd Amendment of the US Constitution,Right to bear arms,,US Constitution,,
3rd Amendment of the US Constitution,Quartering of troops,,US Constitution,,
4th Amendment of the US Constitution,Search and seizure,,US Constitution,,
5th Amendment of the US Constitution,"Due process, emininent domain, double jeopardy, self incrimination, miranda rights",,US Constitution,,
Due Process Under Law,Fair treatment under law,,,,
eminiment domain,government can take private property,,,,
double jeopardy,can't be charged twice,,,,
self incrimination,can't use self incriminating testimony,,,,
miranda rights,"1. You are under arrest and what you are charged with 2. Right to remain silent, anything you say can be used against you 3. You have right to attorney, if you can't afford one, one will be appointed to you",,,,
6th Amendment of the US Constitution,fair and speedy trial,,US Constitution,,
7th Amendment of the US Constitution,trial by jury,,US Constitution,,
8th Amendment of the US Constitution,cruel and unusual punishment,,US Constitution,,
9th Amendment of the US Constitution,protects rights not in bill,,US Constitution,,
10th Amendment of the US Constitution,power not in constitution given to states,,US Constitution,,
federalism,a mixed or compound mode of government that combines a general government with regional governments in a single political system,,,,
11th Amendment of the US Constitution,can't sue states,,US Constitution,,
12th Amendment of the US Constitution,P and VP run together,,US Constitution,,
13th Amendment of the US Constitution,no slavery,,US Constitution,,
14th Amendment of the US Constitution,applies 4th and 5th amendments to states,,US Constitution,,
15th Amendment of the US Constitution,vote can't be denied by race,,US Constitution,,
16th Amendment of the US Constitution,Congress makes income tax,,US Constitution,,
17th Amendment of the US Constitution,Senate elected by vote,,US Constitution,,
18th Amendment of the US Constitution,prohibition,,US Constitution,,
19th Amendment of the US Constitution,women's suffrage,,US Constitution,,
20th Amendment of the US Constitution,shortens lame duck president,,US Constitution,,
21st Amendment of the US Constitution,ends prohibition,,US Constitution,,
22nd Amendment of the US Constitution,limit to 2 terms,,US Constitution,,
