Name,Description,My Thoughts,Tag 1,Tag 2,Tag 3
Snowy Plover,,,Bird,,
Black Skimmer,,,Bird,,
Black-throated Gray Warbler,,,Bird,,
Brewer's Sparrow,,,Bird,,
Costa's Hummingbird,,,Bird,,
Yellow-headed Blackbird,,,Bird,,
Gila Woodpecker,,,Bird,,
Chipping Sparrow,,,Bird,,
Abert's Towhee,,,Bird,,
Blue-winged Teal,,,Bird,,
Gull-billed Tern,,,Bird,,
Neotropic Cormorant,,,Bird,,
Black-tailed Gnatcatcher,,,Bird,,
Gambel's Quail,,,Bird,,
Common Ground Dove,,,Bird,,
Bonaparte's Gull,,,Bird,,
Cattle Egret,,,Bird,,
Burrowing Owl,,,Bird,,
Townsend's Solitaire,,,Bird,,
Lawrence's Goldfinch,,,Bird,,
Verdin,,,Bird,,
Black-throated Sparrow,,,Bird,,
Cactus Wren,,,Bird,,
Scott's Oriole,,,Bird,,
White-winged Dove,,,Bird,,
Ladder-backed Woodpecker,,,Bird,,
Vermilion Flycatcher,,,Bird,,
Mountain Chickadee,,,Bird,,
Bell's Sparrow,,,Bird,,
Barrow's Goldeneye,,,Bird,,
Greater Scaup,,,Bird,,
Allen's Hummingbird,,,Bird,,
Common Gallinule,,,Bird,,
Iceland Gull,,,Bird,,
Snow Goose,,,Bird,,
Ross's Goose,,,Bird,,
Sandhill Crane,,,Bird,,
Marsh Wren,,,Bird,,
American Bittern,,,Bird,,
White-faced Ibis,,,Bird,,
Greater Roadrunner,,,Bird,,
Red-breasted Merganser,,,Bird,,
Clark's Grebe,,,Bird,,
Ferruginous Hawk,,,Bird,,
Wood Duck,,,Bird,,
Prairie Falcon,,,Bird,,
Phainopepla,,,Bird,,
Bald Eagle,,,Bird,,
Palm Warbler,,,Bird,,
White-throated Sparrow,,,Bird,,
Horned Grebe,,,Bird,,
Whimbrel,,,Bird,,
Mew Gull,,,Bird,,
Hermit Warbler,,,Bird,,
Golden-crowned Kinglet,,,Bird,,
Red-breasted Nuthatch,,,Bird,,
Varied Thrush,,,Bird,,
Black Oystercatcher,,,Bird,,
