Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x03001,Divide and Conquer,an algorithm design paradigm based on multi-branched recursion.,,,
0x03002,Fast Fourier Transform,"an O(n log n) algorithm that computes the discrete Fourier transform (DFT) of a sequence, or its inverse (IDFT). Fourier analysis converts a signal from its original domain (often time or space) to a representation in the frequency domain and vice versa.",,,
0x03003,DFS,an O(m+n) algorithm for traversing or searching tree or graph data structures. The algorithm starts at the root node (selecting some arbitrary node as the root node in the case of a graph) and explores as far as possible along each branch before backtracking.,,,
0x03004,BFS,"an O(m+n) algorithm for traversing or searching tree or graph data structures. It starts at the tree root (or some arbitrary node of a graph, sometimes referred to as a 'search key'), and explores all of the neighbor nodes at the present depth prior to moving on to the nodes at the next depth level.",,,
0x03005,Iterative Deepening,,,,
0x03006,Prenums,Pre-visit number tells the time at which the node gets into the recursion stack,,,
0x03007,Topological Sort,"a linear ordering of its vertices such that for every directed edge uv from vertex u to vertex v, u comes before v in the ordering.",,,
0x03008,Postnums,Post-visit number tells the time at which the node comes out from recursion stack,,,
0x03009,SCCs,"The strongly connected components of an arbitrary directed graph form a partition into subgraphs that are themselves strongly connected. It is possible to test the strong connectivity of a graph, or to find its strongly connected components, in linear time (that is, Θ(V+E)).",,,
0x0300a,Greedy Algorithms,any algorithm that follows the problem-solving heuristic of making the locally optimal choice at each stage.,,,
0x0300b,Dynamic Programming,an algorithmic technique for solving an optimization problem by breaking it down into simpler subproblems and utilizing the fact that the optimal solution to the overall problem depends upon the optimal solution to its subproblems.,,,
0x0300c,Dynamic Programming: Top down,"If the solution to any problem can be formulated recursively using the solution to its sub-problems, and if its sub-problems are overlapping, then one can easily memoize or store the solutions to the sub-problems in a table. Whenever we attempt to solve a new sub-problem, we first check the table to see if it is already solved. If a solution has been recorded, we can use it directly, otherwise we solve the sub-problem and add its solution to the table.",,,
0x0300d,Dynamic Programming: Bottom up,"Once we formulate the solution to a problem recursively as in terms of its sub-problems, we can try reformulating the problem in a bottom-up fashion: try solving the sub-problems first and use their solutions to build-on and arrive at solutions to bigger sub-problems. This is also usually done in a tabular form by iteratively generating solutions to bigger and bigger sub-problems by using the solutions to small sub-problems.",,,
0x0300e,Simplex,a popular algorithm for linear programming.,,,
0x0300f,Karmarkar's Algorithm,an algorithm introduced by Narendra Karmarkar in 1984 for solving linear programming problems. It was the first reasonably efficient algorithm that solves these problems in polynomial time.,,,
0x03010,Convex Hull,,,,
0x03011,Sweep Line Algorithm,,,,
0x03012,Delaunay Triangulation,,,,
0x03013,Interval Scheduling Problem,The interval scheduling maximization problem (ISMP) is to find a largest compatible set - a set of non-overlapping intervals of maximum size. The goal here is to execute as many tasks as possible.,,,
0x03014,Kruskal's Algorithm,a minimum-spanning-tree algorithm which finds an edge of the least possible weight that connects any two trees in the forest.,,,
0x03015,Prim's Algorithm,"a greedy algorithm that finds a minimum spanning tree for a weighted undirected graph. The algorithm operates by building this tree one vertex at a time, from an arbitrary starting vertex, at each step adding the cheapest possible connection from the tree to another vertex.",,,
0x03016,Linear Programming,a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships.,,,
0x03017,Duality (Linear Programming),dual of a given linear program (LP) is another LP that is derived from the original (the primal) LP in the following schematic way: Each variable in the primal LP becomes a constraint in the dual LP; Each constraint in the primal LP becomes a variable in the dual LP; The objective direction is inversed – maximum in the primal becomes minimum in the dual and vice-versa.,,,
0x03018,Ford-Fulkerson Algorithm,a greedy algorithm that computes the maximum flow in a flow network,,,
0x03019,Edmunds-Karp Algorithm,an implementation of the Ford–Fulkerson method for computing the maximum flow in a flow network in O(V E^2) time.,,,
0x0301a,Multiplicative Updates,"an algorithmic technique most commonly used for decision making and prediction, and also widely deployed in game theory and algorithm design.",,,
0x0301b,Unlimited Knapsack,"Given a set of items, each with a weight and a value, determine the number of each item to include in a collection so that the total weight is less than or equal to a given limit and the total value is as large as possible. Reusing items is OK",,,
0x0301c,Limited Knapsack,"Given a set of items, each with a weight and a value, determine the number of each item to include in a collection so that the total weight is less than or equal to a given limit and the total value is as large as possible. Can't reuse items",,,
0x0301d,P/NP Categorization,Polynomial time vs nonpolynomial time problems,,,
0x0301e,3SAT,NP-complete boolean satisfiability problem where each clause has at most 3 variables,,,
0x0301f,SAT,the problem of determining if there exists an interpretation that satisfies a given Boolean formula.,,,
0x03020,Travelling Salesman,"The travelling salesman problem asks the following question: ""Given a list of cities and the distances between each pair of cities, what is the shortest possible route that visits each city and returns to the origin city?"" It is an NP-hard problem in combinatorial optimization.",,,
0x03021,Simulated Annealing,"a probabilistic technique for approximating the global optimum of a given function. Specifically, it is a metaheuristic to approximate global optimization in a large search space for an optimization problem.",,,
0x03022,Freivalds' Algorithm,"a probabilistic randomized algorithm used to verify matrix multiplication. Given three n × n matrices A, B, and C, a general problem is to verify whether AB=C.",,,
0x03023,Hashing,any function that can be used to map data of arbitrary size to fixed-size values.,,,
0x03024,Big O,f(x) = O(g(x)) if |f(x)| < M g(x) for all x>x_0,,,
0x03025,Big Omega,One function is smaller than another,,,
0x03026,Little O,f(x) = o(g(x)) if for all epsilon>0 there is N such that |f(x)| <= epsilon g(x) for all x>N,,,
0x03027,Little Omega,One function is way smaller than another,,,
0x03028,Big Theta,The growth rate is the same,,,
0x03029,Dominating Set Problem,"a dominating set for a graph G = (V, E) is a subset D of V such that every vertex not in D is adjacent to at least one member of D. Goal to find smallest dominating set",,,
0x0302a,3 Coloring,a labeling of the graph’s vertices with colors such that no two vertices sharing the same edge have the same color.,,,
0x0302b,Vertex Cover,a vertex cover (sometimes node cover) of a graph is a set of vertices that includes at least one endpoint of every edge of the graph. The problem of finding a minimum vertex cover is a classical optimization problem in computer science and is a typical example of an NP-hard optimization problem.,,,
0x0302c,Maximum Matching,a matching or independent edge set in a graph is a set of edges without common vertices.,,,
0x0302d,Independent Set,"a set of vertices in a graph, no two of which are adjacent.",,,
0x0302e,170 Project: Minimum routing cost dominating tree,https://web.archive.org/web/20200504041428/https://cs170.org/assets/project/spec.pdf,,,
,,,,,
0x0302f,Merge Sort,"Conceptually, a merge sort works as follows: Divide the unsorted list into n sublists, each containing one element (a list of one element is considered sorted). Repeatedly merge sublists to produce new sorted sublists until there is only one sublist remaining. This will be the sorted list.",,,
0x03030,Heap Sort,"Heapsort can be thought of as an improved selection sort: like selection sort, heapsort divides its input into a sorted and an unsorted region, and it iteratively shrinks the unsorted region by extracting the largest element from it and inserting it into the sorted region.",,,
0x03031,Shell Sort,"Shellsort is an optimization of insertion sort that allows the exchange of items that are far apart. The idea is to arrange the list of elements so that, starting anywhere, taking every hth element produces a sorted list. Such a list is said to be h-sorted.",,,
0x03032,Quick Sort,"works by selecting a 'pivot' element from the array and partitioning the other elements into two sub-arrays, according to whether they are less than or greater than the pivot. The sub-arrays are then sorted recursively.",,,
0x03033,Bogosort,a highly inefficient sorting algorithm based on the generate and test paradigm.,,,
0x03034,Bogobogosort,an algorithm that was designed not to succeed before the heat death of the universe on any sizable list. It works by recursively calling itself with smaller and smaller copies of the beginning of the list to see if they are sorted.,,,
0x03035,Insertion Sort,"a simple sorting algorithm that builds the final sorted array (or list) one item at a time. It is much less efficient on large lists than more advanced algorithms such as quicksort, heapsort, or merge sort.",,,
0x03036,Selection Sort,"an in-place comparison sorting algorithm. It has an O(n2) time complexity. The algorithm proceeds by finding the smallest (or largest, depending on sorting order) element in the unsorted sublist, exchanging (swapping) it with the leftmost unsorted element (putting it in sorted order), and moving the sublist boundaries one element to the right.",,,
0x03037,Counting/Bucket Sort,"an algorithm for sorting a collection of objects according to keys that are small integers; It operates by counting the number of objects that have each distinct key value, and using arithmetic on those counts to determine the positions of each key value in the output sequence.",,,
0x03038,LSD Radix Sort,a non-comparative sorting algorithm. It avoids comparison by creating and distributing elements into buckets according to their radix.,,,
0x03039,MSD Radix Sort,a non-comparative sorting algorithm. It avoids comparison by creating and distributing elements into buckets according to their radix.,,,
0x0303a,Dijkstra's Algorithm,"an algorithm for finding the shortest paths between nodes in a graph, which may represent, for example, road networks.",,,
0x0303b,A-Star Algorithm,"an informed search algorithm, or a best-first search, meaning that it is formulated in terms of weighted graphs: starting from a specific starting node of a graph, it aims to find a path to the given goal node having the smallest cost (least distance travelled, shortest time, etc.)",,,
0x0303c,Binary Search,a search algorithm that finds the position of a target value within a sorted array.,,,
0x0303d,Shor's Algorithm,"a polynomial-time quantum computer algorithm for integer factorization.[1] Informally, it solves the following problem: Given an integer N, find its prime factors.",,,
0x0303e,Sieve of Eratosthenes,an ancient algorithm for finding all prime numbers up to any given limit.,,,
0x0303f,Karatsuba's Method,a fast multiplication algorithm.,,,
0x03040,Strassen's Algorithm,an algorithm for matrix multiplication. It is faster than the standard matrix multiplication algorithm and is useful in practice for large matrices,,,
0x03041,Coppersmith Winnograd Algorithm,the asymptotically fastest known matrix multiplication algorithm from 1990 until 2010. It can multiply two {\displaystyle n\times n} matrices in {\displaystyle {\mathcal {O}}(n^{2.375477})} time,,,
0x03042,Binary Search Tree,a rooted binary tree whose internal nodes each store a key greater than all the keys in the node's left subtree and less than those in its right subtree.,,,
0x03043,Red Black Tree,"a kind of self-balancing binary search tree. Each node stores an extra bit representing color, used to ensure that the tree remains approximately balanced during insertions and deletions.",,,
0x03044,Quad Tree,a tree data structure in which each internal node has exactly four children. Quadtrees are the two-dimensional analog of octrees and are most often used to partition a two-dimensional space by recursively subdividing it into four quadrants or regions.,,,
0x03045,2-3 Trees,"a 2–3 tree is a tree data structure, where every node with children (internal node) has either two children (2-node) and one data element or three children (3-nodes) and two data elements.",,,
0x03046,2-3-4 Trees,"a 2–3–4 tree (also called a 2–4 tree) is a self-balancing data structure that is commonly used to implement dictionaries. The numbers mean a tree where every node with children (internal node) has either two, three, or four child nodes:",,,
0x03047,Fusion Trees,a type of tree data structure that implements an associative array on w-bit integers.,,,
0x03048,Stacks,"a stack is an abstract data type that serves as a collection of elements, with two main principal operations: push (add) and pop (remove most recent)",,,
0x03049,FIFO Queues,the first element added to the queue will be the first one to be removed.,,,
0x0304a,Priority Queues,"an abstract data type similar to regular queue or stack data structure in which each element additionally has a ""priority"" associated with it. In a priority queue, an element with high priority is served before an element with low priority.",,,
0x0304b,Queues,a collection of entities that are maintained in a sequence and can be modified by the addition of entities at one end of the sequence and the removal of entities from the other end of the sequence,,,
0x0304c,Heaps,"a specialized tree-based data structure which is essentially an almost complete[1] tree that satisfies the heap property: in a max heap, for any given node C, if P is a parent node of C, then the key (the value) of P is greater than or equal to the key of C.",,,
