Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x0e001,Beet,"The beetroot is the taproot portion of a beet plant, usually known in Canada and the USA as beets while the vegetable is referred to as beetroot in British English, and also known as the table beet, garden beet, red beet, dinner beet or golden beet. It is one of several cultivated varieties of Beta vulgaris grown for their edible taproots and leaves (called beet greens).",Vegetable,Food,
0x0e002,Bok choy,"Bok choy is a type of Chinese cabbage. Chinensis varieties do not form heads and have green leaf blades with lighter bulbous bottoms instead, forming a cluster reminiscent of mustard greens.",Vegetable,Food,
0x0e003,Broccoli,"Broccoli is an edible green plant in the cabbage family (family Brassicaceae, genus Brassica) whose large flowering head and stalk is eaten as a vegetable. The word broccoli comes from the Italian plural of broccolo, which means ""the flowering crest of a cabbage"", and is the diminutive form of brocco, meaning ""small nail"" or ""sprout"".",Vegetable,Food,
0x0e004,Brussels sprout,"The Brussels sprout is a member of the Gemmifera Group of cabbages (Brassica oleracea), grown for its edible buds. The leaf vegetables are typically 1.5–4.0 cm (0.6–1.6 in) in diameter and look like miniature cabbages.",Vegetable,Food,
0x0e005,Cabbage,"Cabbage (comprising several cultivars of Brassica oleracea) is a leafy green, red (purple), or white (pale green) biennial plant grown as an annual vegetable crop for its dense-leaved heads.",Vegetable,Food,
0x0e006,Celery,"Celery has a long fibrous stalk tapering into leaves. Depending on location and cultivar, either its stalks, leaves or hypocotyl are eaten and used in cooking. Celery seed is also used as a spice and its extracts have been used in herbal medicine.",Vegetable,Food,
0x0e007,Lettuce,"Lettuce (Lactuca sativa) is an annual plant of the daisy family, Asteraceae. It is most often grown as a leaf vegetable, but sometimes for its stem and seeds. Lettuce is most often used for salads, although it is also seen in other kinds of food, such as soups, sandwiches and wraps; it can also be grilled.",Vegetable,Food,
0x0e008,Kale,"Kale, or leaf cabbage, belongs to a group of cabbage (Brassica oleracea) cultivars grown for their edible leaves, although some are used as ornamentals. Kale plants have green or purple leaves, and the central leaves do not form a head (as with headed cabbage).",Vegetable,Food,
0x0e009,Napa cabbage,"Napa or napa cabbage (Brassica rapa subsp. pekinensis or Brassica rapa Pekinensis Group) is a type of Chinese cabbage originating near the Beijing region of China and is widely used in East Asian cuisine. Since the 20th century, it has also become a widespread crop in Europe, the Americas and Australia. In much of the world, this is the vegetable referred to as ""Chinese cabbage"". In Australia it also is referred to as ""wombok"".",Vegetable,Food,
0x0e00a,Pea,The pea is most commonly the small spherical seed or the seed-pod of the pod fruit Pisum sativum.,Vegetable,Food,
0x0e00b,Spinach,"Spinach (Spinacia oleracea) is a leafy green flowering plant native to central and western Asia. Its leaves are a common edible vegetable consumed either fresh, or after storage using preservation techniques by canning, freezing, or dehydration. It may be eaten cooked or raw, and the taste differs considerably; the high oxalate content may be reduced by steaming.",Vegetable,Food,
0x0e00c,Turnip,"The turnip or white turnip (Brassica rapa subsp. rapa) is a root vegetable commonly grown in temperate climates worldwide for its white, fleshy taproot.",Vegetable,Food,
0x0e00d,Bell pepper,"The bell pepper is the fruit of plants in the Grossum cultivar group of the species Capsicum annuum.[2][3] Cultivars of the plant produce fruits in different colours, including red, yellow, orange, green, white, and purple. Bell peppers are sometimes grouped with less pungent pepper varieties as ""sweet peppers"". While they are fruits—botanically classified as berries—they are commonly used as a vegetable ingredient or side dish.",Vegetable,Food,
0x0e00e,Bitter melon,"Bitter melon is a tropical and subtropical vine of the family Cucurbitaceae, widely grown in Asia, Africa, and the Caribbean for its edible fruit. Its many varieties differ substantially in the shape and bitterness of the fruit.",Vegetable,Food,
0x0e00f,Cucumber,"Cucumber (Cucumis sativus) is a widely-cultivated creeping vine plant in the Cucurbitaceae gourd family that bears cucumiform fruits, which are used as vegetables. There are three main varieties of cucumber—slicing, pickling, and burpless/seedless—within which several cultivars have been created.",Vegetable,Food,
0x0e010,Eggplant,"Eggplant is a plant species in the nightshade family Solanaceae. Solanum melongena is grown worldwide for its edible fruit. Most commonly purple, the spongy, absorbent fruit is used in several cuisines. Typically used as a vegetable in cooking, it is a berry by botanical definition. As a member of the genus Solanum, it is related to the tomato and potato. Like the tomato, its skin and seeds can be eaten, but, like the potato, it is usually eaten cooked.",Vegetable,Food,
0x0e011,Olive,"The olive, known by the botanical name Olea europaea, meaning ""European olive"", is a species of small tree in the family Oleaceae, found traditionally in the Mediterranean Basin. The olive's fruit, also called the olive, is of major agricultural importance in the Mediterranean region as the source of olive oil; it is one of the core ingredients in Mediterranean cuisine.",Vegetable,Food,
0x0e012,Pumpkin,"A pumpkin is a cultivar of winter squash that is round with smooth, slightly ribbed skin, and most often deep yellow to orange in coloration. The thick shell contains the seeds and pulp.",Vegetable,Food,
0x0e013,Tomato,"The tomato is the edible, often red berry of the plant Solanum lycopersicum, commonly known as a tomato plant. Tomatoes are a significant source of umami flavor. The tomato is consumed in diverse ways, raw or cooked, in many dishes, sauces, salads, and drinks. While tomatoes are fruits—botanically classified as berries—they are commonly used as a vegetable ingredient or side dish.",Vegetable,Food,
0x0e014,Watermelon,"Watermelon is grown in favorable climates from tropical to temperate regions worldwide for its large edible fruit, which is a berry with a hard rind and no internal divisions, and is botanically called a pepo. The sweet, juicy flesh is usually deep red to pink, with many black seeds, although seedless varieties exist. The fruit can be eaten raw or pickled, and the rind is edible after cooking. It is commonly consumed as a juice or as an ingredient in mixed beverages.",Vegetable,Food,
0x0e015,Wintermelon,"Wintermelon is a vine grown for its very large fruit, eaten as a vegetable when mature.",Vegetable,Food,
0x0e016,Cauliflower,"The cauliflower head is composed of a white inflorescence meristem. Cauliflower heads resemble those in broccoli, which differs in having flower buds as the edible portion.",Vegetable,Food,
0x0e017,Green Beans,"Green beans are eaten around the world, and are sold fresh, canned, and frozen. They can be eaten raw or steamed, boiled, stir-fried, or baked. They are commonly cooked in other dishes such as soups, stews and casseroles. Green beans can also be pickled, much like cucumbers are.",Vegetable,Food,
0x0e018,Lentils,"Lentils can be eaten soaked, germinated, fried, baked or boiled – the most common preparation method. Lentils are used worldwide to cook many different dishes. Lentil dishes are most widespread throughout South Asia, the Mediterranean regions and West Asia. In the Indian subcontinent, lentil curry is part of the everyday diet, eaten with both rice and roti. Boiled lentils and lentil stock are used to thicken most vegetarian curries. They are also used as stuffing in dal parathas and puri for breakfast or snacks.",Vegetable,Food,
0x0e019,Peanuts,"Peanuts are similar in taste and nutritional profile to tree nuts such as walnuts and almonds, and as a culinary nut are often served in similar ways in Western cuisines.",Vegetable,Food,
0x0e01a,Snap pea,"The snap pea, also known as the sugar snap pea, is an edible-pod pea with rounded pods and thick pod walls, in contrast to snow pea pods, which are flat with thin walls.",Vegetable,Food,
0x0e01b,Soybean,"The soybean or soya bean (Glycine max) is a species of legume native to East Asia, widely grown for its edible bean, which has numerous uses. Traditional unfermented food uses of soybeans include soy milk, from which tofu and tofu skin are made. Fermented soy foods include soy sauce, fermented bean paste, natt?, and tempeh.",Vegetable,Food,
0x0e01c,Adzuki bean,"The adzuki bean (Vigna angularis; from azuki); sometimes transliterated as azuki or aduki), or red mung bean, is an annual vine widely cultivated throughout East Asia for its small (approximately 5 millimetres (0.20 in) long) bean.",Vegetable,Food,
0x0e01d,Chickpea,"Chickpea is a key ingredient in hummus and chana masala, and it can be ground into flour to make falafel. It is also used in salads, soups and stews, curry and other meal products like channa. The chickpea is important in Indian, Mediterranean and Middle Eastern cuisine. In 2018, India accounted for 66% of global chickpea production.",Vegetable,Food,
0x0e01e,Asparagus,"Asparagus, or garden asparagus, folk name sparrow grass, scientific name Asparagus officinalis, is a perennial flowering plant species in the genus Asparagus. Its young shoots are used as a spring vegetable.",Vegetable,Food,
0x0e01f,Chives,"Chives, scientific name Allium schoenoprasum, is a species of flowering plant in the family Amaryllidaceae that produces edible leaves and flowers. Chives are a commonly used herb and can be found in grocery stores or grown in home gardens. In culinary use, the green stalks (scapes) and the unopened, immature flower buds are diced and used as an ingredient for omelettes, fish, potatoes, soups, and many other dishes. The edible flowers can be used in salads.",Vegetable,Food,
0x0e020,Garlic,"Garlic (Allium sativum) is a species in the onion genus, Allium. It is native to Central Asia and northeastern Iran, and has long been a common seasoning worldwide, with a history of several thousand years of human consumption and use.",Vegetable,Food,
0x0e021,Leek,"The leek is a vegetable, a cultivar of Allium ampeloprasum, the broadleaf wild leek. The edible part of the plant is a bundle of leaf sheaths that is sometimes erroneously called a stem or stalk.",Vegetable,Food,
