Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x0b001,Apple,"The apple is a pome (fleshy) fruit, in which the ripened ovary and surrounding tissue both become fleshy and edible. When harvested, apples are usually roundish, 5–10 cm (2–4 inches) in diameter, and some shade of red, green, or yellow in colour; they vary in size, shape, and acidity depending on the variety.",Fruit,Food,
0x0b002,Apple (Red),Red apple.,Fruit,Food,
0x0b003,Apple (Green),Green apple.,Fruit,Food,
0x0b004,Apple (Golden),Golden apple.,Fruit,Food,
0x0b005,Apricot,"The fruit is a drupe similar to a small peach, 1.5–2.5 cm (0.6–1.0 in) diameter (larger in some modern cultivars), from yellow to orange, often tinged red on the side most exposed to the sun; its surface can be smooth (botanically described as: glabrous) or velvety with very short hairs (botanically: pubescent). The flesh is usually firm and not very juicy. Its taste can range from sweet to tart. The single seed is enclosed in a hard, stony shell, often called a ""stone"" or ""kernel"", with a grainy, smooth texture except for three ridges running down one side.",Fruit,Food,
0x0b006,Avocado,"Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world. They have a green-skinned, fleshy body that may be pear-shaped, egg-shaped, or spherical. Commercially, they ripen after harvesting.",Fruit,Food,
0x0b007,Banana,"The fruit is variable in size, color, and firmness, but is usually elongated and curved, with soft flesh rich in starch covered with a rind, which may be green, yellow, red, purple, or brown when ripe. The fruits grow in clusters hanging from the top of the plant.",Fruit,Food,
0x0b008,Blackberry,"Blackberries do not have a hollow center, instead they have a solid, edible core. When ripe, Blackberries have a deep inky sheen with purple highlights. They are succulent, soft, and juicy. Their flavor is sweet, slightly tart, with earthy undertones.",Fruit,Food,
0x0b009,Blueberry,The fruits are true berries with many small seeds and are a deep indigo to black colour when ripe.,Fruit,Food,
0x0b00a,Cherry,"Sweet cherry trees are large and rather upright, attaining heights up to 11 metres (36 feet). The fruit is a fleshy drupe (stone fruit) that is generally heart-shaped to nearly globular, about 2 cm (1 inch) in diameter, and varies in colour from yellow through red to nearly black.",Fruit,Food,
0x0b00b,Coconut,It's a fruit.,Fruit,Food,
0x0b00c,Cranberry,It's a fruit.,Fruit,Food,
0x0b00d,Date,It's a fruit.,Fruit,Food,
0x0b00e,Dragonfruit,It's a fruit.,Fruit,Food,
0x0b00f,Durian,It's a fruit.,Fruit,Food,
0x0b010,Fig,It's a fruit.,Fruit,Food,
0x0b011,Grape (Red),It's a fruit.,Fruit,Food,
0x0b012,Grape (Green),It's a fruit.,Fruit,Food,
0x0b013,Grape,It's a fruit.,Fruit,Food,
0x0b014,Grape (Black),It's a fruit.,Fruit,Food,
0x0b015,Raisin,It's a fruit.,Fruit,Food,
0x0b016,Grapefruit,It's a fruit.,Fruit,Food,
0x0b017,Guava,It's a fruit.,Fruit,Food,
0x0b018,Jackfruit,It's a fruit.,Fruit,Food,
0x0b019,Japanese plum,It's a fruit.,Fruit,Food,
0x0b01a,Kiwi,It's a fruit.,Fruit,Food,
0x0b01b,Kumquat,It's a fruit.,Fruit,Food,
0x0b01c,Lemon,It's a fruit.,Fruit,Food,
0x0b01d,Lime,It's a fruit.,Fruit,Food,
0x0b01e,Lychee,It's a fruit.,Fruit,Food,
0x0b01f,Mango,It's a fruit.,Fruit,Food,
0x0b020,Melon,It's a fruit.,Fruit,Food,
0x0b021,Cantaloupe,It's a fruit.,Fruit,Food,
0x0b022,Honeydew,It's a fruit.,Fruit,Food,
0x0b023,Watermelon,It's a fruit.,Fruit,Food,
0x0b024,Nectarine,It's a fruit.,Fruit,Food,
0x0b025,Orange,It's a fruit.,Fruit,Food,
0x0b026,Tangerine,It's a fruit.,Fruit,Food,
0x0b027,Papaya,It's a fruit.,Fruit,Food,
0x0b028,Passionfruit,It's a fruit.,Fruit,Food,
0x0b029,Peach,It's a fruit.,Fruit,Food,
0x0b02a,Pear,It's a fruit.,Fruit,Food,
0x0b02b,Persimmon,It's a fruit.,Fruit,Food,
0x0b02c,Plum,It's a fruit.,Fruit,Food,
0x0b02d,Pineapple,It's a fruit.,Fruit,Food,
0x0b02e,Pomegranate,It's a fruit.,Fruit,Food,
0x0b02f,Raspberry,It's a fruit.,Fruit,Food,
0x0b030,Star fruit,It's a fruit.,Fruit,Food,
0x0b031,Strawberry,It's a fruit.,Fruit,Food,
