Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x07001,Real Analysis (the subject),Math subject,,,
0x07002,triangle inequality,|a+b| \leq |a| + |b|,,,
0x07003,infimum,Greatest lower bound on a set,,,
0x07004,supremum,Lowest upper bound on a set,,,
0x07005,completeness of R,All sets have an inf and sup,,,
0x07006,lim sup,lim_{n to infty} sup(a_m: m>n),,,
0x07007,lim inf,lim_{n to infty} inf(a_m: m>n),,,
0x07008,density of rationals,There is a rational number between every 2 real numbers,,,
0x07009,epsilon delta limits,for all \epsilon>0 there exists \delta>0 such that |x-x_0|<\delta implies |f(x)-c|<\epsilon,,,
0x0700a,sequence limits,for all \epsilon>0 there exists N such that n>N implies |a_n - c| < \epsilon,,,
0x0700b,limit laws,Various laws that help do limits,,,
0x0700c,monotone convergence theorem,Bounded monotone sequence must converge,,,
0x0700d,Bolzano-Weierstrass,All bounded sequences have a convergent subsequence,,,
0x0700e,Cauchy criterion for sequence convergence,"for all \epsilon>0 there exists N such that n,m>N implies |a_n - a_m|<\epsilon",,,
0x0700f,squeeze test,squeeze sequence between two other sequences,,,
0x07010,comparison test,sum is infinite/finite if greater/less than another sequence,,,
0x07011,root test,lim sup (a_n)^(1/n) = L,,,
0x07012,ratio test,lim sup (a_n+1)/(a_n) = L,,,
0x07013,basic divergence test,if a_n to infty then series diverges,,,
0x07014,Cauchy's condensation test,sum of 2^n a_{2^n} has the same convergence/divergence,,,
0x07015,Abel's summation by parts formula,Some nonsensical formula,,,
0x07016,Dirichlet's test,a_n to zero and sum of b_n bounded. then sum a_nb_n = 0,,,
0x07017,Open sets,every number has an epsilon ball contained in the set,,,
0x07018,Closed sets,every limit point is in the set,,,
0x07019,Limit point,for every delta>0 there is another point in the set nearby,,,
0x0701a,clopen sets,both open and closed ,,,
0x0701b,compactness (sets): covering definition,every open covering has a finite subcovering,,,
0x0701c,sequential compactness (sets),all sequences converge inside the set,,,
0x0701d,Heine-Borel theorem,compact sets in R iff closed and bounded,,,
0x0701e,connectedness (sets),set is not disconnected,,,
0x0701f,continuity of functions,lim f(x) = f(x_0),,,
0x07020,uniform continuity,"for a given epsilon, one delta applies for all of the function",,,
0x07021,differentiation (real analysis),lim [f(x+h) - f(x)]/h,,,
0x07022,intermediate value theorem,"continuous f, there exists f(c) = [f(b)-f(a)]/2",,,
0x07023,mean value theorem,"continuous f, there exists f'(c) = [f(b)-f(a)]/[b-a]",,,
