Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x05001,Snowy Plover,,Bird,,
0x05002,Black Skimmer,,Bird,,
0x05003,Black-throated Gray Warbler,,Bird,,
0x05004,Brewer's Sparrow,,Bird,,
0x05005,Costa's Hummingbird,,Bird,,
0x05006,Yellow-headed Blackbird,,Bird,,
0x05007,Gila Woodpecker,,Bird,,
0x05008,Chipping Sparrow,,Bird,,
0x05009,Abert's Towhee,,Bird,,
0x0500a,Blue-winged Teal,,Bird,,
0x0500b,Gull-billed Tern,,Bird,,
0x0500c,Neotropic Cormorant,,Bird,,
0x0500d,Black-tailed Gnatcatcher,,Bird,,
0x0500e,Gambel's Quail,,Bird,,
0x0500f,Common Ground Dove,,Bird,,
0x05010,Bonaparte's Gull,,Bird,,
0x05011,Cattle Egret,,Bird,,
0x05012,Burrowing Owl,,Bird,,
0x05013,Townsend's Solitaire,,Bird,,
0x05014,Lawrence's Goldfinch,,Bird,,
0x05015,Verdin,,Bird,,
0x05016,Black-throated Sparrow,,Bird,,
0x05017,Cactus Wren,,Bird,,
0x05018,Scott's Oriole,,Bird,,
0x05019,White-winged Dove,,Bird,,
0x0501a,Ladder-backed Woodpecker,,Bird,,
0x0501b,Vermilion Flycatcher,,Bird,,
0x0501c,Mountain Chickadee,,Bird,,
0x0501d,Bell's Sparrow,,Bird,,
0x0501e,Barrow's Goldeneye,,Bird,,
0x0501f,Greater Scaup,,Bird,,
0x05020,Allen's Hummingbird,,Bird,,
0x05021,Common Gallinule,,Bird,,
0x05022,Iceland Gull,,Bird,,
0x05023,Snow Goose,,Bird,,
0x05024,Ross's Goose,,Bird,,
0x05025,Sandhill Crane,,Bird,,
0x05026,Marsh Wren,,Bird,,
0x05027,American Bittern,,Bird,,
0x05028,White-faced Ibis,,Bird,,
0x05029,Greater Roadrunner,,Bird,,
0x0502a,Red-breasted Merganser,,Bird,,
0x0502b,Clark's Grebe,,Bird,,
0x0502c,Ferruginous Hawk,,Bird,,
0x0502d,Wood Duck,,Bird,,
0x0502e,Prairie Falcon,,Bird,,
0x0502f,Phainopepla,,Bird,,
0x05030,Bald Eagle,,Bird,,
0x05031,Palm Warbler,,Bird,,
0x05032,White-throated Sparrow,,Bird,,
0x05033,Horned Grebe,,Bird,,
0x05034,Whimbrel,,Bird,,
0x05035,Mew Gull,,Bird,,
0x05036,Hermit Warbler,,Bird,,
0x05037,Golden-crowned Kinglet,,Bird,,
0x05038,Red-breasted Nuthatch,,Bird,,
0x05039,Varied Thrush,,Bird,,
0x0503a,Black Oystercatcher,,Bird,,
0x0503b,Pelagic Cormorant,,Bird,,
0x0503c,Lincoln's Sparrow,,Bird,,
0x0503d,Pacific Golden-Plover,,Bird,,
0x0503e,Ruff,,Bird,,
0x0503f,Short-billed Dowitcher,,Bird,,
0x05040,Wilson's Snipe,,Bird,,
0x05041,Lesser Yellowlegs,,Bird,,
0x05042,Herring Gull,,Bird,,
0x05043,Sharp-shinned Hawk,,Bird,,
0x05044,Greater White-fronted Goose,,Bird,,
0x05045,Northern Pintail,,Bird,,
0x05046,Black-bellied Plover,,Bird,,
0x05047,Forster's Tern,,Bird,,
0x05048,Hermit Thrush,,Bird,,
0x05049,Eurasian Wigeon,,Bird,,
0x0504a,American White Pelican,,Bird,,
0x0504b,Blackburnian Warbler,,Bird,,
0x0504c,Yellow Warbler,,Bird,,
0x0504d,Red-necked Phalarope,,Bird,,
0x0504e,Sanderling,,Bird,,
0x0504f,Red-throated Loon,,Bird,,
0x05050,Pacific Loon,,Bird,,
0x05051,Chestnut-sided Warbler,,Bird,,
0x05052,Elegant Tern,,Bird,,
