Item ID,Name,Description,Tag 1,Tag 2,Tag 3
0x04001,Ranking things,,,,
0x04002,Tennis,,,,
0x04003,Interrogation,,,,
,Breakdancing,,,,
,Cheerleading,,,,
,Competitive dancing,,,,
,Dancesport,,,,
,Freerunning,,,,
,Gymnastics,,,,
,High kick,,,,
,Parkour,,,,
,Stunt,,,,
,Trampolining,,,,
,Archery,,,,
,Badminton,,,,
,Pickleball,,,,
,Table tennis,,,,
,Volleyball,,,,
,Beach volleyball,,,,
,Basketball,,,,
,Baseball,,,,
,Cricket,,,,
,Softball,,,,
,Baton twirling,,,,
,Skateboarding,,,,
,Snowboarding,,,,
,Surfing,,,,
,Dodgeball,,,,
,Ultimate Frisbee,,,,
,Rock climbing,,,,
,Bouldering,,,,
,Free climbing,,,,
,Sport climbing,,,,
,Speed climbing,,,,
,Triathalon,,,,
,Cycling (Sport),,,,
,Sumo,,,,
,Wrestling,,,,
,Boxing,,,,
,Karate,,,,
,Kickboxing,,,,
,Mixed martial arts,,,,
,Axe throwing,,,,
,Fencing,,,,
,Kendo,,,,
,Kung fu,,,,
,Pool (cue sport),,,,
,Snooker,,,,
,Fishing,,,,
,Fly fishing,,,,
,Disc golf,,,,
,Soccer,,,,
,Golf,,,,
,Minigolf,,,,
,Juggling,,,,
,Parkour,,,,
,Artistic gymnastics,,,,
,Slacklining,,,,
,Trampolining,,,,
,Water polo,,,,
,Handball,,,,
,Hunting,,,,
,Curling,,,,
,Figure skating,,,,
,Ice hockey,,,,
,Speed skating,,,,
,Kite Flying,,,,
,Amercan Football,,,,
,Running,,,,
,Squash,,,,
,Marathon,,,,
,Sailing,,,,
,Skiing,,,,
,Sledding,,,,
,Shooting sports,,,,
,Laser tag,,,,
,Paintball,,,,
,Hockey,,,,
,Lacrosse,,,,
,Polo,,,,
,Capture the flag,,,,
,Tag,,,,
,Marco Polo,,,,
,Backpacking (hiking),,,,
,,,,,
,Hiking,,,,
,Racewalking,,,,
,Walking,,,,
,Canoeing,,,,
,Kayaking,,,,
,Rowing (sport),,,,
,Backstroke,,,,
,Breaststroke,,,,
,Butterfly stroke,,,,
,Freestyle swimming,,,,
,Scuba diving,,,,
,Powerlifting,,,,
,Sports car racing,,,,
,Arm wrestling,,,,
,Thumb wrestling,,,,
,Tug-o-war,,,,
